,Buy,Sell,Type
185,2019-11-28T00:00:00.000000000,2019-12-01T00:00:00.000000000,1
186,2019-12-01T00:00:00.000000000,2019-12-04T00:00:00.000000000,1
187,2019-12-02T00:00:00.000000000,2019-12-05T00:00:00.000000000,1
188,2019-12-03T00:00:00.000000000,2019-12-06T00:00:00.000000000,1
189,2019-12-04T00:00:00.000000000,2019-12-07T00:00:00.000000000,1
190,2019-12-05T00:00:00.000000000,2019-12-08T00:00:00.000000000,1
191,2019-12-08T00:00:00.000000000,2019-12-11T00:00:00.000000000,1
192,2019-12-09T00:00:00.000000000,2019-12-12T00:00:00.000000000,1
193,2019-12-10T00:00:00.000000000,2019-12-13T00:00:00.000000000,1
194,2019-12-11T00:00:00.000000000,2019-12-14T00:00:00.000000000,1
195,2019-12-12T00:00:00.000000000,2019-12-15T00:00:00.000000000,1
196,2019-12-15T00:00:00.000000000,2019-12-18T00:00:00.000000000,1
197,2019-12-16T00:00:00.000000000,2019-12-19T00:00:00.000000000,1
198,2019-12-17T00:00:00.000000000,2019-12-20T00:00:00.000000000,1
199,2019-12-18T00:00:00.000000000,2019-12-21T00:00:00.000000000,1
200,2019-12-19T00:00:00.000000000,2019-12-22T00:00:00.000000000,1
201,2019-12-22T00:00:00.000000000,2019-12-25T00:00:00.000000000,1
202,2019-12-23T00:00:00.000000000,2019-12-26T00:00:00.000000000,1
203,2019-12-24T00:00:00.000000000,2019-12-27T00:00:00.000000000,1
204,2019-12-25T00:00:00.000000000,2019-12-28T00:00:00.000000000,1
205,2019-12-26T00:00:00.000000000,2019-12-29T00:00:00.000000000,1
206,2019-12-29T00:00:00.000000000,2020-01-01T00:00:00.000000000,1
207,2019-12-30T00:00:00.000000000,2020-01-02T00:00:00.000000000,1
208,1999-12-31T00:00:00.000000000,2000-01-03T00:00:00.000000000,2
209,2000-01-31T00:00:00.000000000,2000-02-03T00:00:00.000000000,2
210,2000-02-29T00:00:00.000000000,2000-03-03T00:00:00.000000000,2
211,2000-03-31T00:00:00.000000000,2000-04-03T00:00:00.000000000,2
212,2000-04-30T00:00:00.000000000,2000-05-03T00:00:00.000000000,2
213,2000-05-31T00:00:00.000000000,2000-06-03T00:00:00.000000000,2
214,2000-06-30T00:00:00.000000000,2000-07-03T00:00:00.000000000,2
215,2000-07-31T00:00:00.000000000,2000-08-03T00:00:00.000000000,2
216,2000-08-31T00:00:00.000000000,2000-09-03T00:00:00.000000000,2
217,2000-09-30T00:00:00.000000000,2000-10-03T00:00:00.000000000,2
218,2000-10-31T00:00:00.000000000,2000-11-03T00:00:00.000000000,2
219,2000-11-30T00:00:00.000000000,2000-12-03T00:00:00.000000000,2
220,2000-12-31T00:00:00.000000000,2001-01-03T00:00:00.000000000,2
221,2001-01-31T00:00:00.000000000,2001-02-03T00:00:00.000000000,2
222,2001-02-28T00:00:00.000000000,2001-03-03T00:00:00.000000000,2
223,2001-03-31T00:00:00.000000000,2001-04-03T00:00:00.000000000,2
224,2001-04-30T00:00:00.000000000,2001-05-03T00:00:00.000000000,2
225,2001-05-31T00:00:00.000000000,2001-06-03T00:00:00.000000000,2
226,2001-06-30T00:00:00.000000000,2001-07-03T00:00:00.000000000,2
227,2001-07-31T00:00:00.000000000,2001-08-03T00:00:00.000000000,2
228,2001-08-31T00:00:00.000000000,2001-09-03T00:00:00.000000000,2
229,2001-09-30T00:00:00.000000000,2001-10-03T00:00:00.000000000,2
230,2001-10-31T00:00:00.000000000,2001-11-03T00:00:00.000000000,2
231,2001-11-30T00:00:00.000000000,2001-12-03T00:00:00.000000000,2
232,2001-12-31T00:00:00.000000000,2002-01-03T00:00:00.000000000,2
233,2002-01-31T00:00:00.000000000,2002-02-03T00:00:00.000000000,2
234,2002-02-28T00:00:00.000000000,2002-03-03T00:00:00.000000000,2
235,2002-03-31T00:00:00.000000000,2002-04-03T00:00:00.000000000,2
